411=ProxyTargetWrite.....	Failed to write to the Target machine.
412=ProxyClientRead......	Failed to read from the client.
413=ProxyClientWrite.....	Failed to write to the client.
414=ProxyUnkMcmid........	This mcmid is unknown to the system.
415=ProxyMisMcmid........	Hessian call must have an mcmid.
416=ProxyMisSiloID.......	Response from centService::getSilos is missing a siloID.
417=ProxySiloNotAvail....	No machines in the requested Silo are avilable right now.
418=ProxyCreateThread....	Failed to create a pthread to handle Silo load balancing.
419=ProxyTimeout.........   A timeout reading the clients hessian call.
420=ProxyAccess..........   Access denied, that host is not allowed to call that method.
421=ProxyUnkSilo.........   The siloID, associated with this call, is not registered.
422=ProxyUnkMethod.......   The method being called, is not registered.
